price,postalcode,city,floorsize,bedrooms,bathrooms,type
"$1,100,000",92110,San Diego,"1,638",3 bds,2 ba,House for sale
"$775,000",92117,San Diego,"1,104",3 bds,2 ba,House for sale
"$899,000",92106,San Diego,"1,574",2 bds,3 ba,Condo for sale
"$899,000",92120,San Diego,"2,330",5 bds,3 ba,House for sale
"$575,000",92128,San Diego,"1,168",2 bds,2 ba,Condo for sale
"$665,000",92128,San Diego,"1,427",3 bds,3 ba,Townhouse for sale
"$799,900",92126,San Diego,"2,403",4 bds,3 ba,House for sale
"$965,000",92129,San Diego,"2,323",3 bds,3 ba,House for sale
"$949,000",92129,San Diego,"2,605",5 bds,4 ba,House for sale
"$549,000",92108,San Diego,"1,348",2 bds,3 ba,Townhouse for sale
"$949,900",92102,San Diego,"1,360",3 bds,3 ba,House for sale
"$699,900",92126,San Diego,"1,275",3 bds,2 ba,House for sale
"$839,900",92126,San Diego,"1,729",3 bds,3 ba,House for sale
"$859,000",92120,San Diego,"2,617",5 bds,3 ba,House for sale
"$1,089,900",92122,San Diego,"1,794",4 bds,3 ba,House for sale
"$959,900",92127,San Diego,"2,554",4 bds,3 ba,Townhouse for sale
"$400,000",92037,La Jolla,691,1 bd,1 ba,Condo for sale
"$2,695,000",92127,San Diego,"5,327",5 bds,6 ba,Coming soon
"$545,000",92014,Del Mar,936,1 bd,1 ba,Condo for sale
"$719,900",92126,San Diego,"1,266",3 bds,2 ba,House for sale
"$2,395,000",92037,La Jolla,"2,849",4 bds,3 ba,House for sale
"$1,775,000",92130,San Diego,"3,922",5 bds,5 ba,House for sale
"$610,000",92122,San Diego,"1,221",3 bds,2 ba,For sale by owner
"$1,049,990",92129,San Diego,"2,323",4 bds,3 ba,House for sale
"$749,900",92108,San Diego,"1,515",3 bds,3 ba,Townhouse for sale
"$395,000",92129,San Diego,881,2 bds,2 ba,Condo for sale
"$532,000",92128,San Diego,"1,076",2 bds,2 ba,Condo for sale
"$469,900",92139,San Diego,"1,156",3 bds,2 ba,House for sale
"$799,900",92101,San Diego,"1,485",2 bds,2 ba,Condo for sale
"$999,000",92107,San Diego,432,1 bd,3 ba,Apartment for sale
"$499,000",92111,San Diego,"1,172",2 bds,2 ba,Condo for sale
"$1,910,219+",92130,San Diego,"3,153",4 bds,4 ba,New construction
"$599,000",92101,San Diego,"1,290",2 bds,3 ba,Condo for sale
"$315,000",92127,San Diego,756,1 bd,1 ba,Condo for sale
"$1,344,900+",92109,San Diego,"1,255",3 bds,3 ba,New construction
"$2,458,888",92130,San Diego,"4,346",5 bds,5 ba,House for sale
"$929,000",92107,San Diego,"1,386",3 bds,2 ba,House for sale
"$704,880",92123,San Diego,"1,836",4 bds,2 ba,House for sale
"$599,000",92115,San Diego,780,2 bds,1 ba,Coming soon
"$1,200,000",92130,San Diego,"2,348",4 bds,3 ba,House for sale
"$1,100,000",92110,San Diego,"1,638",3 bds,2 ba,House for sale
"$775,000",92117,San Diego,"1,104",3 bds,2 ba,House for sale
"$899,000",92106,San Diego,"1,574",2 bds,3 ba,Condo for sale
"$899,000",92120,San Diego,"2,330",5 bds,3 ba,House for sale
"$575,000",92128,San Diego,"1,168",2 bds,2 ba,Condo for sale
"$665,000",92128,San Diego,"1,427",3 bds,3 ba,Townhouse for sale
"$799,900",92126,San Diego,"2,403",4 bds,3 ba,House for sale
"$965,000",92129,San Diego,"2,323",3 bds,3 ba,House for sale
"$949,000",92129,San Diego,"2,605",5 bds,4 ba,House for sale
"$549,000",92108,San Diego,"1,348",2 bds,3 ba,Townhouse for sale
"$949,900",92102,San Diego,"1,360",3 bds,3 ba,House for sale
"$699,900",92126,San Diego,"1,275",3 bds,2 ba,House for sale
"$839,900",92126,San Diego,"1,729",3 bds,3 ba,House for sale
"$859,000",92120,San Diego,"2,617",5 bds,3 ba,House for sale
"$1,089,900",92122,San Diego,"1,794",4 bds,3 ba,House for sale
"$959,900",92127,San Diego,"2,554",4 bds,3 ba,Townhouse for sale
"$400,000",92037,La Jolla,691,1 bd,1 ba,Condo for sale
"$2,695,000",92127,San Diego,"5,327",5 bds,6 ba,Coming soon
"$545,000",92014,Del Mar,936,1 bd,1 ba,Condo for sale
"$719,900",92126,San Diego,"1,266",3 bds,2 ba,House for sale
"$2,395,000",92037,La Jolla,"2,849",4 bds,3 ba,House for sale
"$1,775,000",92130,San Diego,"3,922",5 bds,5 ba,House for sale
"$610,000",92122,San Diego,"1,221",3 bds,2 ba,For sale by owner
"$1,049,990",92129,San Diego,"2,323",4 bds,3 ba,House for sale
"$749,900",92108,San Diego,"1,515",3 bds,3 ba,Townhouse for sale
"$395,000",92129,San Diego,881,2 bds,2 ba,Condo for sale
"$532,000",92128,San Diego,"1,076",2 bds,2 ba,Condo for sale
"$469,900",92139,San Diego,"1,156",3 bds,2 ba,House for sale
"$799,900",92101,San Diego,"1,485",2 bds,2 ba,Condo for sale
"$999,000",92107,San Diego,432,1 bd,3 ba,Apartment for sale
"$499,000",92111,San Diego,"1,172",2 bds,2 ba,Condo for sale
"$1,910,219+",92130,San Diego,"3,153",4 bds,4 ba,New construction
"$599,000",92101,San Diego,"1,290",2 bds,3 ba,Condo for sale
"$315,000",92127,San Diego,756,1 bd,1 ba,Condo for sale
"$1,344,900+",92109,San Diego,"1,255",3 bds,3 ba,New construction
"$2,458,888",92130,San Diego,"4,346",5 bds,5 ba,House for sale
"$929,000",92107,San Diego,"1,386",3 bds,2 ba,House for sale
"$704,880",92123,San Diego,"1,836",4 bds,2 ba,House for sale
"$599,000",92115,San Diego,780,2 bds,1 ba,Coming soon
"$1,200,000",92130,San Diego,"2,348",4 bds,3 ba,House for sale
"$1,100,000",92110,San Diego,"1,638",3 bds,2 ba,House for sale
"$899,000",92106,San Diego,"1,574",2 bds,3 ba,Condo for sale
"$899,000",92120,San Diego,"2,330",5 bds,3 ba,House for sale
"$775,000",92117,San Diego,"1,104",3 bds,2 ba,House for sale
"$575,000",92128,San Diego,"1,168",2 bds,2 ba,Condo for sale
"$665,000",92128,San Diego,"1,427",3 bds,3 ba,Townhouse for sale
"$799,900",92126,San Diego,"2,403",4 bds,3 ba,House for sale
"$965,000",92129,San Diego,"2,323",3 bds,3 ba,House for sale
"$949,000",92129,San Diego,"2,605",5 bds,4 ba,House for sale
"$549,000",92108,San Diego,"1,348",2 bds,3 ba,Townhouse for sale
"$949,900",92102,San Diego,"1,360",3 bds,3 ba,House for sale
"$699,900",92126,San Diego,"1,275",3 bds,2 ba,House for sale
"$839,900",92126,San Diego,"1,729",3 bds,3 ba,House for sale
"$859,000",92120,San Diego,"2,617",5 bds,3 ba,House for sale
"$1,089,900",92122,San Diego,"1,794",4 bds,3 ba,House for sale
"$959,900",92127,San Diego,"2,554",4 bds,3 ba,Townhouse for sale
"$400,000",92037,La Jolla,691,1 bd,1 ba,Condo for sale
"$2,695,000",92127,San Diego,"5,327",5 bds,6 ba,Coming soon
"$545,000",92014,Del Mar,936,1 bd,1 ba,Condo for sale
"$719,900",92126,San Diego,"1,266",3 bds,2 ba,House for sale
"$2,395,000",92037,La Jolla,"2,849",4 bds,3 ba,House for sale
"$610,000",92122,San Diego,"1,221",3 bds,2 ba,For sale by owner
"$1,775,000",92130,San Diego,"3,922",5 bds,5 ba,House for sale
"$1,049,990",92129,San Diego,"2,323",4 bds,3 ba,House for sale
"$749,900",92108,San Diego,"1,515",3 bds,3 ba,Townhouse for sale
"$395,000",92129,San Diego,881,2 bds,2 ba,Condo for sale
"$532,000",92128,San Diego,"1,076",2 bds,2 ba,Condo for sale
"$469,900",92139,San Diego,"1,156",3 bds,2 ba,House for sale
"$799,900",92101,San Diego,"1,485",2 bds,2 ba,Condo for sale
"$999,000",92107,San Diego,432,1 bd,3 ba,Apartment for sale
"$499,000",92111,San Diego,"1,172",2 bds,2 ba,Condo for sale
"$1,910,219+",92130,San Diego,"3,153",4 bds,4 ba,New construction
"$599,000",92101,San Diego,"1,290",2 bds,3 ba,Condo for sale
"$315,000",92127,San Diego,756,1 bd,1 ba,Condo for sale
"$1,344,900+",92109,San Diego,"1,255",3 bds,3 ba,New construction
"$2,458,888",92130,San Diego,"4,346",5 bds,5 ba,House for sale
"$929,000",92107,San Diego,"1,386",3 bds,2 ba,House for sale
"$704,880",92123,San Diego,"1,836",4 bds,2 ba,House for sale
"$599,000",92115,San Diego,780,2 bds,1 ba,Coming soon
"$1,200,000",92130,San Diego,"2,348",4 bds,3 ba,House for sale
"$1,100,000",92110,San Diego,"1,638",3 bds,2 ba,House for sale
"$899,000",92106,San Diego,"1,574",2 bds,3 ba,Condo for sale
"$899,000",92120,San Diego,"2,330",5 bds,3 ba,House for sale
"$775,000",92117,San Diego,"1,104",3 bds,2 ba,House for sale
"$575,000",92128,San Diego,"1,168",2 bds,2 ba,Condo for sale
"$665,000",92128,San Diego,"1,427",3 bds,3 ba,Townhouse for sale
"$799,900",92126,San Diego,"2,403",4 bds,3 ba,House for sale
"$949,000",92129,San Diego,"2,605",5 bds,4 ba,House for sale
"$965,000",92129,San Diego,"2,323",3 bds,3 ba,House for sale
"$549,000",92108,San Diego,"1,348",2 bds,3 ba,Townhouse for sale
"$949,900",92102,San Diego,"1,360",3 bds,3 ba,House for sale
"$699,900",92126,San Diego,"1,275",3 bds,2 ba,House for sale
"$839,900",92126,San Diego,"1,729",3 bds,3 ba,House for sale
"$859,000",92120,San Diego,"2,617",5 bds,3 ba,House for sale
"$1,089,900",92122,San Diego,"1,794",4 bds,3 ba,House for sale
"$959,900",92127,San Diego,"2,554",4 bds,3 ba,Townhouse for sale
"$400,000",92037,La Jolla,691,1 bd,1 ba,Condo for sale
"$2,695,000",92127,San Diego,"5,327",5 bds,6 ba,Coming soon
"$545,000",92014,Del Mar,936,1 bd,1 ba,Condo for sale
"$719,900",92126,San Diego,"1,266",3 bds,2 ba,House for sale
"$2,395,000",92037,La Jolla,"2,849",4 bds,3 ba,House for sale
"$1,775,000",92130,San Diego,"3,922",5 bds,5 ba,House for sale
"$610,000",92122,San Diego,"1,221",3 bds,2 ba,For sale by owner
"$1,049,990",92129,San Diego,"2,323",4 bds,3 ba,House for sale
"$749,900",92108,San Diego,"1,515",3 bds,3 ba,Townhouse for sale
"$395,000",92129,San Diego,881,2 bds,2 ba,Condo for sale
"$532,000",92128,San Diego,"1,076",2 bds,2 ba,Condo for sale
"$469,900",92139,San Diego,"1,156",3 bds,2 ba,House for sale
"$799,900",92101,San Diego,"1,485",2 bds,2 ba,Condo for sale
"$999,000",92107,San Diego,432,1 bd,3 ba,Apartment for sale
"$499,000",92111,San Diego,"1,172",2 bds,2 ba,Condo for sale
"$1,910,219+",92130,San Diego,"3,153",4 bds,4 ba,New construction
"$599,000",92101,San Diego,"1,290",2 bds,3 ba,Condo for sale
"$315,000",92127,San Diego,756,1 bd,1 ba,Condo for sale
"$1,344,900+",92109,San Diego,"1,255",3 bds,3 ba,New construction
"$2,458,888",92130,San Diego,"4,346",5 bds,5 ba,House for sale
"$929,000",92107,San Diego,"1,386",3 bds,2 ba,House for sale
"$704,880",92123,San Diego,"1,836",4 bds,2 ba,House for sale
"$599,000",92115,San Diego,780,2 bds,1 ba,Coming soon
"$1,200,000",92130,San Diego,"2,348",4 bds,3 ba,House for sale
"$1,100,000",92110,San Diego,"1,638",3 bds,2 ba,House for sale
"$899,000",92120,San Diego,"2,330",5 bds,3 ba,House for sale
"$899,000",92106,San Diego,"1,574",2 bds,3 ba,Condo for sale
"$775,000",92117,San Diego,"1,104",3 bds,2 ba,House for sale
"$575,000",92128,San Diego,"1,168",2 bds,2 ba,Condo for sale
"$665,000",92128,San Diego,"1,427",3 bds,3 ba,Townhouse for sale
"$799,900",92126,San Diego,"2,403",4 bds,3 ba,House for sale
"$965,000",92129,San Diego,"2,323",3 bds,3 ba,House for sale
"$949,000",92129,San Diego,"2,605",5 bds,4 ba,House for sale
"$549,000",92108,San Diego,"1,348",2 bds,3 ba,Townhouse for sale
"$949,900",92102,San Diego,"1,360",3 bds,3 ba,House for sale
"$699,900",92126,San Diego,"1,275",3 bds,2 ba,House for sale
"$839,900",92126,San Diego,"1,729",3 bds,3 ba,House for sale
"$859,000",92120,San Diego,"2,617",5 bds,3 ba,House for sale
"$1,089,900",92122,San Diego,"1,794",4 bds,3 ba,House for sale
"$959,900",92127,San Diego,"2,554",4 bds,3 ba,Townhouse for sale
"$400,000",92037,La Jolla,691,1 bd,1 ba,Condo for sale
"$2,695,000",92127,San Diego,"5,327",5 bds,6 ba,Coming soon
"$545,000",92014,Del Mar,936,1 bd,1 ba,Condo for sale
"$719,900",92126,San Diego,"1,266",3 bds,2 ba,House for sale
"$2,395,000",92037,La Jolla,"2,849",4 bds,3 ba,House for sale
"$610,000",92122,San Diego,"1,221",3 bds,2 ba,For sale by owner
"$1,775,000",92130,San Diego,"3,922",5 bds,5 ba,House for sale
"$1,049,990",92129,San Diego,"2,323",4 bds,3 ba,House for sale
"$749,900",92108,San Diego,"1,515",3 bds,3 ba,Townhouse for sale
"$395,000",92129,San Diego,881,2 bds,2 ba,Condo for sale
"$532,000",92128,San Diego,"1,076",2 bds,2 ba,Condo for sale
"$469,900",92139,San Diego,"1,156",3 bds,2 ba,House for sale
"$799,900",92101,San Diego,"1,485",2 bds,2 ba,Condo for sale
"$999,000",92107,San Diego,432,1 bd,3 ba,Apartment for sale
"$499,000",92111,San Diego,"1,172",2 bds,2 ba,Condo for sale
"$1,910,219+",92130,San Diego,"3,153",4 bds,4 ba,New construction
"$599,000",92101,San Diego,"1,290",2 bds,3 ba,Condo for sale
"$315,000",92127,San Diego,756,1 bd,1 ba,Condo for sale
"$1,344,900+",92109,San Diego,"1,255",3 bds,3 ba,New construction
"$2,458,888",92130,San Diego,"4,346",5 bds,5 ba,House for sale
"$929,000",92107,San Diego,"1,386",3 bds,2 ba,House for sale
"$704,880",92123,San Diego,"1,836",4 bds,2 ba,House for sale
"$599,000",92115,San Diego,780,2 bds,1 ba,Coming soon
"$1,200,000",92130,San Diego,"2,348",4 bds,3 ba,House for sale
"$1,100,000",92110,San Diego,"1,638",3 bds,2 ba,House for sale
"$775,000",92117,San Diego,"1,104",3 bds,2 ba,House for sale
"$899,000",92106,San Diego,"1,574",2 bds,3 ba,Condo for sale
"$899,000",92120,San Diego,"2,330",5 bds,3 ba,House for sale
"$575,000",92128,San Diego,"1,168",2 bds,2 ba,Condo for sale
"$665,000",92128,San Diego,"1,427",3 bds,3 ba,Townhouse for sale
"$799,900",92126,San Diego,"2,403",4 bds,3 ba,House for sale
"$965,000",92129,San Diego,"2,323",3 bds,3 ba,House for sale
"$949,000",92129,San Diego,"2,605",5 bds,4 ba,House for sale
"$549,000",92108,San Diego,"1,348",2 bds,3 ba,Townhouse for sale
"$949,900",92102,San Diego,"1,360",3 bds,3 ba,House for sale
"$699,900",92126,San Diego,"1,275",3 bds,2 ba,House for sale
"$839,900",92126,San Diego,"1,729",3 bds,3 ba,House for sale
"$859,000",92120,San Diego,"2,617",5 bds,3 ba,House for sale
"$1,089,900",92122,San Diego,"1,794",4 bds,3 ba,House for sale
"$959,900",92127,San Diego,"2,554",4 bds,3 ba,Townhouse for sale
"$400,000",92037,La Jolla,691,1 bd,1 ba,Condo for sale
"$2,695,000",92127,San Diego,"5,327",5 bds,6 ba,Coming soon
"$545,000",92014,Del Mar,936,1 bd,1 ba,Condo for sale
"$719,900",92126,San Diego,"1,266",3 bds,2 ba,House for sale
"$2,395,000",92037,La Jolla,"2,849",4 bds,3 ba,House for sale
"$1,775,000",92130,San Diego,"3,922",5 bds,5 ba,House for sale
"$610,000",92122,San Diego,"1,221",3 bds,2 ba,For sale by owner
"$1,049,990",92129,San Diego,"2,323",4 bds,3 ba,House for sale
"$749,900",92108,San Diego,"1,515",3 bds,3 ba,Townhouse for sale
"$395,000",92129,San Diego,881,2 bds,2 ba,Condo for sale
"$532,000",92128,San Diego,"1,076",2 bds,2 ba,Condo for sale
"$469,900",92139,San Diego,"1,156",3 bds,2 ba,House for sale
"$799,900",92101,San Diego,"1,485",2 bds,2 ba,Condo for sale
"$999,000",92107,San Diego,432,1 bd,3 ba,Apartment for sale
"$499,000",92111,San Diego,"1,172",2 bds,2 ba,Condo for sale
"$1,910,219+",92130,San Diego,"3,153",4 bds,4 ba,New construction
"$599,000",92101,San Diego,"1,290",2 bds,3 ba,Condo for sale
"$315,000",92127,San Diego,756,1 bd,1 ba,Condo for sale
"$1,344,900+",92109,San Diego,"1,255",3 bds,3 ba,New construction
"$2,458,888",92130,San Diego,"4,346",5 bds,5 ba,House for sale
"$929,000",92107,San Diego,"1,386",3 bds,2 ba,House for sale
"$704,880",92123,San Diego,"1,836",4 bds,2 ba,House for sale
"$599,000",92115,San Diego,780,2 bds,1 ba,Coming soon
"$1,200,000",92130,San Diego,"2,348",4 bds,3 ba,House for sale
"$1,100,000",92110,San Diego,"1,638",3 bds,2 ba,House for sale
"$899,000",92106,San Diego,"1,574",2 bds,3 ba,Condo for sale
"$899,000",92120,San Diego,"2,330",5 bds,3 ba,House for sale
"$775,000",92117,San Diego,"1,104",3 bds,2 ba,House for sale
"$575,000",92128,San Diego,"1,168",2 bds,2 ba,Condo for sale
"$665,000",92128,San Diego,"1,427",3 bds,3 ba,Townhouse for sale
"$799,900",92126,San Diego,"2,403",4 bds,3 ba,House for sale
"$949,000",92129,San Diego,"2,605",5 bds,4 ba,House for sale
"$965,000",92129,San Diego,"2,323",3 bds,3 ba,House for sale
"$549,000",92108,San Diego,"1,348",2 bds,3 ba,Townhouse for sale
"$949,900",92102,San Diego,"1,360",3 bds,3 ba,House for sale
"$699,900",92126,San Diego,"1,275",3 bds,2 ba,House for sale
"$839,900",92126,San Diego,"1,729",3 bds,3 ba,House for sale
"$859,000",92120,San Diego,"2,617",5 bds,3 ba,House for sale
"$1,089,900",92122,San Diego,"1,794",4 bds,3 ba,House for sale
"$959,900",92127,San Diego,"2,554",4 bds,3 ba,Townhouse for sale
"$400,000",92037,La Jolla,691,1 bd,1 ba,Condo for sale
"$2,695,000",92127,San Diego,"5,327",5 bds,6 ba,Coming soon
"$545,000",92014,Del Mar,936,1 bd,1 ba,Condo for sale
"$719,900",92126,San Diego,"1,266",3 bds,2 ba,House for sale
"$2,395,000",92037,La Jolla,"2,849",4 bds,3 ba,House for sale
"$1,775,000",92130,San Diego,"3,922",5 bds,5 ba,House for sale
"$610,000",92122,San Diego,"1,221",3 bds,2 ba,For sale by owner
"$1,049,990",92129,San Diego,"2,323",4 bds,3 ba,House for sale
"$749,900",92108,San Diego,"1,515",3 bds,3 ba,Townhouse for sale
"$395,000",92129,San Diego,881,2 bds,2 ba,Condo for sale
